COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Ireland,IRL,EURO,REPORTING,2021-03-30,814822,586705,16.4,11.818,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Malta,MLT,EURO,REPORTING,2021-03-23,157232,110217,30.6,21.419,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Mauritius,MUS,AFRO,REPORTING,2021-03-26,153292,,12.053,,SII - Covishield,2021-01-26,1
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2021-03-26,9380,9356,8.455,8.433,AstraZeneca - AZD1222,2021-02-15,1
Luxembourg,LUX,EURO,REPORTING,2021-03-30,89688,68617,14.3,10.959,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Faroe Islands,FRO,EURO,OWID,2021-03-30,10770,6641,22.04,13.591,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
United States of America,USA,AMRO,REPORTING,2021-03-26,135544787,90072189,40.95,27.212,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-14,3
Sri Lanka,LKA,SEARO,REPORTING,2021-03-25,869709,869709,4.062,4.062,SII - Covishield,2021-01-29,1
Guadeloupe,GLP,AMRO,REPORTING,2021-03-26,19378,,4.843,,,,
Kenya,KEN,AFRO,REPORTING,2021-03-26,9144,,0.017,,SII - Covishield,2021-03-06,1
Indonesia,IDN,SEARO,REPORTING,2021-03-25,9745736,6730546,3.563,2.461,"SII - Covishield,Sinovac - CoronaVac",2021-01-13,2
Congo,COG,AFRO,REPORTING,2021-03-26,274,,0.005,,,,
Morocco,MAR,EMRO,REPORTING,2021-03-29,7634475,,20.684,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5",2021-01-28,4
Singapore,SGP,WPRO,OWID,2021-03-29,1318912,943307,22.544,16.124,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Equatorial Guinea,GNQ,AFRO,REPORTING,2021-03-26,9265,,0.66,,Beijing CNBG - Inactivated,2021-02-12,1
Cabo Verde,CPV,AFRO,REPORTING,2021-03-26,2722,,0.49,,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,2
Saint Lucia,LCA,AMRO,REPORTING,2021-03-26,20963,20963,11.416,11.416,SII - Covishield,2021-02-17,1
Lithuania,LTU,EURO,REPORTING,2021-03-23,450253,314426,16.1,11.253,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Costa Rica,CRI,AMRO,REPORTING,2021-03-26,348037,213404,6.832,4.189,Pfizer BioNTech - Comirnaty,,1
Egypt,EGY,EMRO,REPORTING,2021-03-04,1315,,0.001,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V",2021-01-24,3
Seychelles,SYC,AFRO,REPORTING,2021-03-26,94372,,95.958,,"Beijing CNBG - Inactivated,SII - Covishield",2021-01-10,2
Suriname,SUR,AMRO,REPORTING,2021-03-26,18600,18600,3.171,3.171,SII - Covishield,2021-02-23,1
Saint Helena,SHN,AFRO,OWID,2021-03-15,3107,3107,51.178,51.178,AstraZeneca - AZD1222,,1
Malaysia,MYS,WPRO,REPORTING,2021-03-22,399525,395012,1.234,1.22,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-24,3
Botswana,BWA,AFRO,REPORTING,2021-03-26,,,,,,,
Grenada,GRD,AMRO,REPORTING,2021-03-26,11506,11505,10.225,10.225,SII - Covishield,2021-02-15,1
Afghanistan,AFG,EMRO,REPORTING,2021-03-10,34743,,0.089,,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,2
Angola,AGO,AFRO,REPORTING,2021-03-26,111230,,0.338,,SII - Covishield,2021-03-04,1
Micronesia (Federated States of),FSM,WPRO,REPORTING,2021-03-11,0,0,0,0,Pfizer BioNTech - Comirnaty,2021-01-13,1
Barbados,BRB,AMRO,REPORTING,2021-03-26,62765,62765,21.841,21.841,SII - Covishield,2021-02-10,1
Cayman Islands,CYM,AMRO,REPORTING,2021-03-26,45051,28895,68.55,43.967,Pfizer BioNTech - Comirnaty,2021-01-15,1
Georgia,GEO,EURO,REPORTING,2021-03-23,4870,4870,0.1,0.205,AstraZeneca - AZD1222,2021-03-17,1
Brazil,BRA,AMRO,REPORTING,2021-03-26,16593969,12671592,7.807,5.961,"SII - Covishield,Sinovac - CoronaVac",2021-01-17,2
Puerto Rico,PRI,AMRO,REPORTING,2021-03-26,981029,633413,34.291,22.141,Pfizer BioNTech - Comirnaty,,1
Gabon,GAB,AFRO,REPORTING,2021-03-26,542,,0.024,,,,
Iraq,IRQ,EMRO,REPORTING,2021-03-28,18827,,0.047,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-03-02,4
South Africa,ZAF,AFRO,REPORTING,2021-03-26,182983,,0.309,,Janssen - Ad26.COV 2.5,,1
Dominica,DMA,AMRO,REPORTING,2021-03-26,15737,15737,21.86,21.86,"Beijing CNBG - Inactivated,SII - Covishield",2021-02-12,2
Guinea,GIN,AFRO,REPORTING,2021-03-26,49361,,0.376,,Gamaleya - Sputnik V,,1
